"","X1","Label","Months.closed","F.Mortality","Selectivity","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","CatchTotal","RevenueTotal","Biomass","Profit"
"35",35,"10-0.576057-32",2,0.318057,32,14,229597.563192655,175818.971504055,134503.615898274,78846.3377264618,46152.892021369,26969.6252887832,15732.9066488793,9166.15783711584,5334.63272780364,3097.5031753009,1788.48446293377,1023.06123291444,584.454388868774,336.918114064965,198.561656659009,117.906771420388,59.3982939819614,424.131609396359,169268.101633318,668327.362298626,959014858.822607,243872.674627418
"36",36,"10-0.576057-32",2,0.318057,32,15,231443.738147318,177385.982626014,135836.899097976,79721.8405438292,46733.131460554,27355.3500684094,15985.2071815327,9325.07477049176,5432.88720239898,3161.89819021299,1835.92576731993,1060.05531685451,606.380162587323,346.412840155739,199.695242290951,117.689778260387,69.8846998828867,502.775368648333,172221.536012565,680328.203593355,973819290.663686,255873.515922146
"37",37,"10-0.576057-32",2,0.318057,32,16,233128.638154132,178812.328593622,137047.564419461,80512.09283509,47252.0520526564,27699.2646593965,16213.8306959995,9474.61619879455,5527.07909707557,3220.13474767723,1874.09343349272,1088.17432375411,628.306981738165,359.40849848445,205.322875677317,118.361667505809,69.7560855405493,596.001490384643,174959.946580663,691476.688266061,987524160.846714,267022.000594853
"38",38,"10-0.576057-32",2,0.318057,32,17,234665.103858083,180114.074305464,138149.55251337,81229.6680992698,47720.4436771681,28006.8348642733,16417.6728306534,9610.12398602518,5615.71402203451,3275.96336728554,1908.61091108601,1110.7967385958,644.973440623523,372.404776452909,213.025551877689,121.697230557187,70.1543220260815,706.513880136347,177496.602463824,701817.778810504,1000419802.02065,277363.091139296
"39",39,"10-0.576057-32",2,0.318057,32,18,236094.858393938,181301.140382632,139155.275043754,81882.8291203848,48145.7587916138,28284.455968747,16599.9732295346,9730.94356434257,5696.03104647955,3328.49830701189,1941.70117620991,1131.25564467271,658.382006160447,382.283178374042,220.728595345668,126.262695356819,72.1313486207191,837.517809734285,179886.235246035,711579.072966326,1012643359.86069,287124.385295118
"40",40,"10-0.576057-32",2,0.318057,32,19,237437.46746567,182405.761920117,140072.39663517,82478.932434509,48532.8948431394,28536.5451301296,16764.5224520566,9838.9951080399,5767.64220052077,3376.1031314101,1972.83923937552,1150.8686254996,670.508235162337,390.230589427025,226.583637810697,130.828377840187,74.8373521309891,992.812882157033,182154.38542755,720864.51355246,1024340608.27288,296409.825881252
"41",41,"11-0.576057-32",1,0.318057,32,0,176958.348523671,136969.251701554,89942.9181316662,50668.5416070175,28549.2727914244,16089.5841424226,9069.77057667427,5113.97875849846,2884.31718249883,1627.27126598835,918.379598282211,518.493810373965,292.845895219848,165.472418969579,93.5451845580588,52.9111236627982,29.9450341270776,39.1988840684049,130012.795403317,509345.62520545,586703772.311464,0
"42",42,"11-0.576057-32",1,0.318057,32,1,177968.601181278,136717.176350904,105821.790809874,51915.7896526857,29246.2975709496,16478.8742878791,9287.0398613753,5235.14592630236,2951.83046124713,1664.85152192896,939.274314284978,530.096232545418,299.278877700959,169.033051325176,95.512036689426,53.9950473635792,30.5407343171131,45.2518344342854,113627.077964213,445151.993589654,613865345.290044,-21748.1628486755
"43",43,"11-0.576057-32",1,0.318057,32,2,180373.446075764,137497.692737395,105627.038595831,61081.2051296091,29966.2193672254,16881.2027044819,9511.74132453884,5360.5555384968,3021.76914377142,1703.82073986259,960.965946078052,542.156833906653,305.975890889179,172.746221547648,97.5672628733609,55.130330537075,31.1663839626686,52.2394595747813,119378.47001022,465675.333669266,641611455.094033,-1224.82276906254
"44",44,"11-0.576057-32",1,0.318057,32,3,185070.780319388,139355.664436831,106230.061834615,60968.7925551817,35256.5723140007,17296.7474668513,9743.96858468921,5490.25506502507,3094.15659997537,1744.18992073797,983.459298119515,554.677421594772,312.937368861666,176.611792458656,99.7105351644855,56.3166239381593,31.8216787168944,60.3060885990864,125175.084208773,486411.328924967,666867451.372718,19511.1724866384
"45",45,"11-0.576057-32",1,0.318057,32,4,190379.624026486,142984.802477068,107665.521910989,61316.862511891,35191.6868545391,20350.3825553992,9983.8244279571,5624.29854326687,3169.02022989938,1785.97255385508,1006.76072024715,567.660768782362,320.164354712768,180.630014611092,101.941774382337,57.5537382740714,32.5064169926406,69.6183373971302,130359.526922434,508669.132611949,689246609.931592,41768.9761736201
"46",46,"11-0.576057-32",1,0.318057,32,5,194497.259318842,147086.389813173,110469.376657534,62145.4218351584,35392.5956868553,20312.9301362994,11746.4076332412,5762.74530221943,3246.39122436198,1829.18445474184,1030.87799859549,581.110540647847,327.658449140436,184.801490087566,104.261125148101,58.8416278411994,33.2204895285741,80.3685500839143,134810.986713729,527359.141659787,709872706.2097,60458.9852214576
"47",47,"11-0.576057-32",1,0.318057,32,6,197714.126702967,150267.655207602,113638.243477479,63763.8297794639,35870.8469203603,20428.8963612625,11724.7897899206,6780.12277708554,3326.30382854673,1873.8436269944,1055.82026201689,595.031231411901,335.421767715701,189.127142824057,106.668934988792,60.1803761160763,33.9638699441954,92.7787718592789,138865.63676817,543796.647386791,729560067.213188,76896.4909484618
